================ Training Loss (Fri Jun  5 10:01:43 2020) ================
(epoch: 3, iters: 32, time: 0.067, data: 1.173) G_GAN: 0.844 G_L1: 6.430 D_real: 0.659 D_fake: 0.655 
(epoch: 55, iters: 64, time: 0.093, data: 0.005) G_GAN: 0.733 G_L1: 6.810 D_real: 0.832 D_fake: 0.442 
(epoch: 57, iters: 96, time: 0.094, data: 0.003) G_GAN: 0.697 G_L1: 6.385 D_real: 0.722 D_fake: 0.507 
(epoch: 59, iters: 128, time: 0.093, data: 0.003) G_GAN: 1.082 G_L1: 6.420 D_real: 0.329 D_fake: 0.677 
(epoch: 61, iters: 160, time: 0.095, data: 0.004) G_GAN: 1.258 G_L1: 6.587 D_real: 0.376 D_fake: 0.544 
(epoch: 63, iters: 192, time: 0.063, data: 0.003) G_GAN: 0.717 G_L1: 5.936 D_real: 0.701 D_fake: 0.518 
(epoch: 65, iters: 224, time: 0.095, data: 0.003) G_GAN: 0.501 G_L1: 6.145 D_real: 1.296 D_fake: 0.378 
(epoch: 67, iters: 256, time: 0.094, data: 0.003) G_GAN: 0.877 G_L1: 5.777 D_real: 0.555 D_fake: 0.602 
(epoch: 69, iters: 288, time: 0.094, data: 0.004) G_GAN: 0.888 G_L1: 5.819 D_real: 0.525 D_fake: 0.585 
(epoch: 71, iters: 320, time: 0.093, data: 0.004) G_GAN: 1.172 G_L1: 6.192 D_real: 0.548 D_fake: 0.446 
(epoch: 73, iters: 352, time: 0.094, data: 0.004) G_GAN: 1.249 G_L1: 6.110 D_real: 0.382 D_fake: 0.753 
(epoch: 75, iters: 384, time: 0.052, data: 0.004) G_GAN: 0.811 G_L1: 7.429 D_real: 0.995 D_fake: 0.746 
(epoch: 78, iters: 32, time: 0.069, data: 1.054) G_GAN: 1.144 G_L1: 5.700 D_real: 0.240 D_fake: 1.076 
(epoch: 80, iters: 64, time: 0.094, data: 0.006) G_GAN: 0.776 G_L1: 5.881 D_real: 0.667 D_fake: 0.773 
(epoch: 82, iters: 96, time: 0.094, data: 0.003) G_GAN: 0.841 G_L1: 5.682 D_real: 0.600 D_fake: 0.990 
(epoch: 84, iters: 128, time: 0.095, data: 0.003) G_GAN: 0.659 G_L1: 5.055 D_real: 0.804 D_fake: 0.569 
(epoch: 86, iters: 160, time: 0.096, data: 0.004) G_GAN: 0.942 G_L1: 5.203 D_real: 0.508 D_fake: 0.517 
(epoch: 88, iters: 192, time: 0.094, data: 0.006) G_GAN: 0.793 G_L1: 5.305 D_real: 0.642 D_fake: 0.653 
(epoch: 90, iters: 224, time: 0.093, data: 0.003) G_GAN: 1.145 G_L1: 5.677 D_real: 0.445 D_fake: 0.627 
(epoch: 92, iters: 256, time: 0.094, data: 0.004) G_GAN: 1.151 G_L1: 5.398 D_real: 0.494 D_fake: 0.657 
(epoch: 94, iters: 288, time: 0.094, data: 0.004) G_GAN: 0.904 G_L1: 5.011 D_real: 0.612 D_fake: 0.636 
(epoch: 96, iters: 320, time: 0.094, data: 0.004) G_GAN: 0.700 G_L1: 5.195 D_real: 0.727 D_fake: 0.640 
(epoch: 98, iters: 352, time: 0.094, data: 0.004) G_GAN: 1.332 G_L1: 5.474 D_real: 0.403 D_fake: 0.505 
(epoch: 100, iters: 384, time: 0.053, data: 0.005) G_GAN: 0.861 G_L1: 5.720 D_real: 0.864 D_fake: 0.647 
(epoch: 103, iters: 32, time: 0.072, data: 1.066) G_GAN: 1.055 G_L1: 5.644 D_real: 0.380 D_fake: 0.752 
(epoch: 105, iters: 64, time: 0.095, data: 0.007) G_GAN: 0.963 G_L1: 5.281 D_real: 0.456 D_fake: 0.883 
(epoch: 107, iters: 96, time: 0.094, data: 0.005) G_GAN: 0.861 G_L1: 5.411 D_real: 0.579 D_fake: 0.595 
(epoch: 109, iters: 128, time: 0.095, data: 0.003) G_GAN: 0.949 G_L1: 5.158 D_real: 0.537 D_fake: 0.574 
(epoch: 111, iters: 160, time: 0.095, data: 0.007) G_GAN: 0.949 G_L1: 4.983 D_real: 0.463 D_fake: 0.580 
(epoch: 113, iters: 192, time: 0.121, data: 0.004) G_GAN: 0.724 G_L1: 4.805 D_real: 0.690 D_fake: 0.529 
(epoch: 115, iters: 224, time: 0.121, data: 0.005) G_GAN: 1.045 G_L1: 5.327 D_real: 0.581 D_fake: 0.654 
(epoch: 117, iters: 256, time: 0.123, data: 0.003) G_GAN: 1.318 G_L1: 5.644 D_real: 0.338 D_fake: 0.792 
(epoch: 119, iters: 288, time: 0.122, data: 0.004) G_GAN: 1.039 G_L1: 5.049 D_real: 0.504 D_fake: 0.620 
(epoch: 121, iters: 320, time: 0.122, data: 0.004) G_GAN: 1.098 G_L1: 5.190 D_real: 0.401 D_fake: 0.639 
(epoch: 123, iters: 352, time: 0.122, data: 0.004) G_GAN: 1.077 G_L1: 5.199 D_real: 0.534 D_fake: 0.438 
(epoch: 125, iters: 384, time: 0.069, data: 0.004) G_GAN: 1.139 G_L1: 5.419 D_real: 0.401 D_fake: 0.681 
(epoch: 128, iters: 32, time: 0.090, data: 1.066) G_GAN: 0.749 G_L1: 5.194 D_real: 1.312 D_fake: 0.421 
(epoch: 130, iters: 64, time: 0.124, data: 0.005) G_GAN: 1.044 G_L1: 5.055 D_real: 0.567 D_fake: 0.504 
(epoch: 132, iters: 96, time: 0.122, data: 0.003) G_GAN: 0.966 G_L1: 4.774 D_real: 0.505 D_fake: 0.527 
(epoch: 134, iters: 128, time: 0.124, data: 0.003) G_GAN: 0.907 G_L1: 5.056 D_real: 0.524 D_fake: 0.795 
(epoch: 136, iters: 160, time: 0.122, data: 0.005) G_GAN: 0.850 G_L1: 5.055 D_real: 0.519 D_fake: 0.714 
(epoch: 138, iters: 192, time: 0.123, data: 0.003) G_GAN: 1.143 G_L1: 5.089 D_real: 0.272 D_fake: 0.837 
(epoch: 140, iters: 224, time: 0.123, data: 0.003) G_GAN: 0.764 G_L1: 5.013 D_real: 0.579 D_fake: 0.815 
(epoch: 142, iters: 256, time: 0.123, data: 0.004) G_GAN: 0.792 G_L1: 4.715 D_real: 0.814 D_fake: 0.509 
(epoch: 144, iters: 288, time: 0.121, data: 0.004) G_GAN: 1.072 G_L1: 4.793 D_real: 0.421 D_fake: 0.650 
(epoch: 146, iters: 320, time: 0.124, data: 0.005) G_GAN: 0.950 G_L1: 4.651 D_real: 0.690 D_fake: 0.450 
(epoch: 148, iters: 352, time: 0.122, data: 0.004) G_GAN: 0.802 G_L1: 4.701 D_real: 0.691 D_fake: 0.613 
(epoch: 150, iters: 384, time: 0.068, data: 0.004) G_GAN: 0.394 G_L1: 4.816 D_real: 1.031 D_fake: 0.467 
(epoch: 153, iters: 32, time: 0.092, data: 1.079) G_GAN: 0.822 G_L1: 4.923 D_real: 0.678 D_fake: 0.676 
(epoch: 155, iters: 64, time: 0.123, data: 0.003) G_GAN: 0.995 G_L1: 4.558 D_real: 0.550 D_fake: 0.596 
(epoch: 157, iters: 96, time: 0.088, data: 0.003) G_GAN: 0.834 G_L1: 4.701 D_real: 0.563 D_fake: 0.568 
(epoch: 159, iters: 128, time: 0.121, data: 0.003) G_GAN: 0.940 G_L1: 4.649 D_real: 0.858 D_fake: 0.449 
(epoch: 161, iters: 160, time: 0.120, data: 0.004) G_GAN: 0.913 G_L1: 4.320 D_real: 0.870 D_fake: 0.412 
(epoch: 163, iters: 192, time: 0.123, data: 0.004) G_GAN: 1.008 G_L1: 4.830 D_real: 0.343 D_fake: 0.769 
(epoch: 165, iters: 224, time: 0.120, data: 0.003) G_GAN: 1.124 G_L1: 4.821 D_real: 0.380 D_fake: 0.605 
(epoch: 167, iters: 256, time: 0.121, data: 0.003) G_GAN: 0.828 G_L1: 4.123 D_real: 0.915 D_fake: 0.440 
(epoch: 169, iters: 288, time: 0.120, data: 0.004) G_GAN: 0.855 G_L1: 4.485 D_real: 0.586 D_fake: 0.555 
(epoch: 171, iters: 320, time: 0.124, data: 0.004) G_GAN: 0.746 G_L1: 4.135 D_real: 0.820 D_fake: 0.570 
(epoch: 173, iters: 352, time: 0.121, data: 0.004) G_GAN: 0.972 G_L1: 4.698 D_real: 0.561 D_fake: 0.581 
(epoch: 175, iters: 384, time: 0.068, data: 0.004) G_GAN: 0.905 G_L1: 4.739 D_real: 0.407 D_fake: 0.812 
(epoch: 178, iters: 32, time: 0.091, data: 1.052) G_GAN: 0.767 G_L1: 4.264 D_real: 0.635 D_fake: 0.669 
(epoch: 180, iters: 64, time: 0.122, data: 0.003) G_GAN: 0.833 G_L1: 4.305 D_real: 0.748 D_fake: 0.489 
(epoch: 182, iters: 96, time: 0.122, data: 0.003) G_GAN: 0.976 G_L1: 4.174 D_real: 0.695 D_fake: 0.473 
(epoch: 184, iters: 128, time: 0.121, data: 0.003) G_GAN: 0.940 G_L1: 4.671 D_real: 0.433 D_fake: 0.558 
(epoch: 186, iters: 160, time: 0.122, data: 0.004) G_GAN: 0.971 G_L1: 4.394 D_real: 0.593 D_fake: 0.509 
(epoch: 188, iters: 192, time: 0.121, data: 0.004) G_GAN: 1.015 G_L1: 4.475 D_real: 0.430 D_fake: 0.505 
(epoch: 190, iters: 224, time: 0.123, data: 0.003) G_GAN: 0.906 G_L1: 4.656 D_real: 0.663 D_fake: 0.545 
(epoch: 192, iters: 256, time: 0.120, data: 0.004) G_GAN: 0.950 G_L1: 4.346 D_real: 0.579 D_fake: 0.520 
(epoch: 194, iters: 288, time: 0.122, data: 0.004) G_GAN: 1.012 G_L1: 4.229 D_real: 0.709 D_fake: 0.457 
(epoch: 196, iters: 320, time: 0.097, data: 0.004) G_GAN: 0.907 G_L1: 4.370 D_real: 0.556 D_fake: 0.562 
(epoch: 198, iters: 352, time: 0.097, data: 0.004) G_GAN: 0.906 G_L1: 4.325 D_real: 0.538 D_fake: 0.546 
(epoch: 200, iters: 384, time: 0.055, data: 0.005) G_GAN: 0.897 G_L1: 4.721 D_real: 0.411 D_fake: 0.565 
